ID_CLIENTE,NOMBRE,NUM_TELEFONO,EMAIL,ESTUDIOS,SEXO,EDAD
99727933D,"ESTÉVEZ, GALO",621927115,galo.estévez@yahoo.es,JUBILADO,M,79
55136132T,"DOMINGO, NARCISO",689227564,narciso.domingo@outlook.com,ESTUDIANTE,M,58
16578041C,"ISERN, SABAS",646010294,sabas.isern@yahoo.es,NC,M,84
66506225X,"FAJARDO, MERCHE",610243897,merche.fajardo@gmail.com,NC,F,22
28504575A,"INIESTA, ALEXANDRA",624326086,alexandra.iniesta@hotmail.com,ESTUDIANTE,F,67
99559415H,"BERMUDEZ, JUAN LUIS",619469620,NULL,ESTUDIANTE,M,33
81777145V,"CATALÁ, SONIA",659165495,sonia.catalá@gmail.com,ESTUDIANTE,F,29
15853701I,"PÉREZ, MAXIMILIANO",649910919,NULL,JUBILADO,M,18
33663963P,"CAMPS, LUCIANA",682461269,NULL,TRABAJADOR,F,61
50548984H,"SIMÓ, CASEMIRO",639534198,casemiro.simó@hotmail.com,NC,M,51
85121664W,"JORDÁN, MAXIMINO",628224592,maximino.jordán@yahoo.es,NC,M,95
78108526F,"ARRIBAS, MARÍA JESÚS",651290337,maríajesús.arribas@hotmail.com,NC,F,87
76162311X,"RIERA, ADELA",630667072,adela.riera@hotmail.com,NC,F,72
53975725B,"ALFARO, MANUELA",641106446,manuela.alfaro@gmail.com,TRABAJADOR,F,16
53260751E,"VARELA, ALCIDES",699768203,alcides.varela@hotmail.com,ESTUDIANTE,M,85
91344151Q,"CHECA, TEÓFILO",675633297,teófilo.checa@hotmail.com,NC,M,35
93101834A,"FERRÁNDIZ, GUSTAVO",666176397,NULL,TRABAJADOR,M,83
76838891K,"GONZALEZ, ANSELMO",614353769,NULL,ESTUDIANTE,M,90
89834199S,"MÍNGUEZ, MATEO",616695887,mateo.mínguez@gmail.com,JUBILADO,M,70
38455072U,"VILLAR, BENITA",632876617,benita.villar@yahoo.es,NC,F,73
26275174V,"ESCALONA, RAFAEL",662768137,rafael.escalona@gmail.com,NC,M,77
79110203T,"GÓMEZ, VENCESLÁS",620461029,venceslás.gómez@hotmail.com,TRABAJADOR,M,94
41647180C,"OLIVERAS, EUSEBIO",670900960,NULL,NC,M,47
61057182R,"RUBIO, HUMBERTO",697650458,humberto.rubio@gmail.com,TRABAJADOR,M,56
51842608U,"CHACÓN, CIRIACO",676026943,ciriaco.chacón@yahoo.es,NC,M,66
14188594C,"MURO, MARÍA PILAR",643517231,maríapilar.muro@outlook.com,ESTUDIANTE,F,92
37740702C,"ROURA, ALEJO",685299871,alejo.roura@yahoo.es,ESTUDIANTE,M,86
79959453Q,"LOBO, CARMEN",670332782,carmen.lobo@gmail.com,NC,F,38
42287086L,"ELÍAS, ELPIDIO",634927144,NULL,ESTUDIANTE,M,61
97424393A,"HERNANDO, PACA",679024048,paca.hernando@outlook.com,TRABAJADOR,F,63
83923046K,"CLEMENTE, TONI",679940187,NULL,NC,M,52
25287950W,"ALBERDI, MICAELA",662290277,NULL,ESTUDIANTE,F,19
40405864M,"MÚÑIZ, MARÍA JOSÉ",696989502,maríajosé.múñiz@outlook.com,TRABAJADOR,F,29
25828426Z,"BUSTOS, WÁLTER",619952267,NULL,ESTUDIANTE,M,23
80628704O,"SABATER, GREGORIO",687317455,gregorio.sabater@hotmail.com,JUBILADO,M,57
90460447S,"ALONSO, DAMIÁN",692163674,damián.alonso@yahoo.es,NC,M,30
66532013I,"HOZ, SEBASTIÁN",689192581,NULL,TRABAJADOR,M,82
50876502H,"BRU, FELICIANA",646701716,feliciana.bru@hotmail.com,JUBILADO,F,36
48792319H,"ZAMORA, ARTURO",657614812,arturo.zamora@hotmail.com,NC,O,73
21866953G,"MANUEL, ANSELMA",646158329,NULL,TRABAJADOR,F,22
17590571Y,"JAÉN, EUSEBIO",655005128,eusebio.jaén@outlook.com,NC,M,88
52042453Z,"PONT, TANIA",615757669,tania.pont@gmail.com,JUBILADO,F,53
35510571Q,"PUIG, PIEDAD",636027209,piedad.puig@gmail.com,TRABAJADOR,F,78
99434308Z,"ECHEVERRÍA, SILVIA",651248714,silvia.echeverría@gmail.com,JUBILADO,F,47
13556140T,"ESTRADA, ANGELINA",654455029,angelina.estrada@hotmail.com,TRABAJADOR,F,59
20126970Y,"ZABALETA, SORAYA",623440637,soraya.zabaleta@hotmail.com,TRABAJADOR,F,70
51903797N,"SALDAÑA, EMA",692003615,NULL,JUBILADO,F,54
19074018I,"ARNAL, VASCO",679406683,vasco.arnal@outlook.com,ESTUDIANTE,M,80
15549293K,"BURGOS, MARIANA",636869474,mariana.burgos@gmail.com,NC,F,34
57038420T,"GARMENDIA, CHUS",639054501,chus.garmendia@yahoo.es,ESTUDIANTE,M,81
27547323X,"ÁGUILA, LILIA",639858478,NULL,TRABAJADOR,F,44
67762519D,"BARBERÁ, CAYETANO",636584730,cayetano.barberá@yahoo.es,JUBILADO,M,29
73861494M,"FIGUERAS, ROSALÍA",639499661,rosalía.figueras@yahoo.es,ESTUDIANTE,F,21
45635564R,"CHECA, ELENA",620045886,elena.checa@gmail.com,ESTUDIANTE,F,27
11250841C,"VALDERRAMA, PRIMITIVA",653185071,primitiva.valderrama@outlook.com,ESTUDIANTE,F,55
20358307D,"CARBALLO, ALBINO",649599943,NULL,ESTUDIANTE,O,78
67185180K,"PEDRERO, MARISELA",661745856,marisela.pedrero@gmail.com,NC,F,94
18833139B,"CARBONELL, OBDULIA",665245990,obdulia.carbonell@yahoo.es,NC,F,34
88087084Q,"REVILLA, AITANA",678355750,NULL,NC,F,50
39014984W,"BECERRA, FRANCISCA",640623936,francisca.becerra@hotmail.com,JUBILADO,F,81
13026150F,"LEÓN, JORDANA",657020553,jordana.león@gmail.com,TRABAJADOR,F,32
74674696V,"GIL, ABRIL",680925288,abril.gil@gmail.com,NC,F,94
13954183X,"PEÑAS, ELOÍSA",671904070,eloísa.peñas@hotmail.com,JUBILADO,F,34
87819493O,"ROMEU, FRANCISCO",645776204,francisco.romeu@yahoo.es,JUBILADO,O,31
70353081L,"VILLA, GLORIA",614788587,gloria.villa@hotmail.com,ESTUDIANTE,F,81
24189615D,"CAÑAS, EZEQUIEL",659892119,ezequiel.cañas@yahoo.es,TRABAJADOR,M,37
40477975W,"TEJADA, DANI",635834920,dani.tejada@hotmail.com,ESTUDIANTE,M,41
49390977G,"GASCÓN, RAFAEL",674084735,rafael.gascón@outlook.com,ESTUDIANTE,M,46
99914559B,"PARDO, MAXIMIANO",670137413,maximiano.pardo@hotmail.com,NC,M,44
96424235B,"PIÑOL, ANA",699488760,ana.piñol@hotmail.com,TRABAJADOR,F,90
59235689Z,"ALCÁNTARA, ÁNGELA",665085961,ángela.alcántara@yahoo.es,ESTUDIANTE,F,32
51882336D,"CASTELLANOS, ILEANA",698266062,ileana.castellanos@hotmail.com,NC,F,91
13256597Y,"PEREIRA, ISABELA",645029121,isabela.pereira@yahoo.es,TRABAJADOR,F,24
90403615Z,"GELABERT, VERÓNICA",623128268,verónica.gelabert@gmail.com,ESTUDIANTE,F,35
93365667P,"ALLER, ROQUE",673689277,NULL,JUBILADO,M,57
13213875C,"ARRANZ, AGAPITO",638903570,NULL,JUBILADO,M,78
54349129G,"CARBALLO, OLIVIA",624124390,olivia.carballo@outlook.com,TRABAJADOR,F,84
94735994D,"FABRA, CARLITO",654304927,NULL,TRABAJADOR,M,95
39719519S,"LLOBET, CALISTO",663680519,calisto.llobet@yahoo.es,NC,M,48
26806662U,"DURAN, HERMINIO",642639080,herminio.duran@hotmail.com,ESTUDIANTE,M,90
99245664F,"MARTÍN, RUBEN",638449759,ruben.martín@outlook.com,NC,M,34
