ID_FACTURA,ID_CLIENTE,ID_RESERVA,PRECIO,FECHA_FACTURA,ID_RESTAURANTE
C2240421,99727933D,210424F8,72.28,2021-04-24,LH001GA
P0090515,99727933D,150509S8,253.85,2015-05-09,LC001CM
J1011121,99727933D,211101X9,98.39,2021-11-01,BR002NA
T1110316,99727933D,160311W2,61.88,2016-03-11,AA002AN
N6190521,55136132T,210519T0,108.45,2021-05-19,EO001AR
T3181222,55136132T,221218E6,202.1,2022-12-18,PB001EX
S9230817,16578041C,170823C0,190.57,2017-08-23,MS001AS
P7251219,16578041C,191225F2,17.19,2019-12-25,LR003VC
L4250324,16578041C,240325G9,179.94,2024-03-25,VA001IB
B1200916,16578041C,160920Q6,21.54,2016-09-20,AP001AN
D2050415,66506225X,150405C7,266.27,2015-04-05,GL002AS
C4020315,66506225X,150302E8,28.75,2015-03-02,BL003CB
M9100622,28504575A,220610U1,234.31,2022-06-10,LV002CL
M9090917,28504575A,170909R2,178.59,2017-09-09,JO003IB
Z4270815,28504575A,150827X9,254.85,2015-08-27,MN003CT
R6140121,28504575A,210114G3,56.99,2021-01-14,LV002CL
L9220216,28504575A,160222N1,60.31,2016-02-22,AZ002PV
S9210720,81777145V,200721B4,17.4,2020-07-21,AA002AN
T0111115,81777145V,151111A6,165.01,2015-11-11,AM002CM
O7211018,81777145V,181021Z4,270.52,2018-10-21,SB002EX
V5180825,81777145V,250818L3,111.54,2025-08-18,PB001EX
K5090324,81777145V,240309L6,142.38,2024-03-09,AE003CM
D0230217,15853701I,170223C9,22.56,2017-02-23,JR001CB
T5280316,15853701I,160328S6,127.26,2016-03-28,VC003CL
O8301121,15853701I,211130Y7,164.95,2021-11-30,SB002EX
G8141024,33663963P,241014U6,89.15,2024-10-14,BR002NA
Q8260923,33663963P,230926H6,277.47,2023-09-26,CD002CT
S3040325,50548984H,250304L0,193.5,2025-03-04,BK001CT
Y6300317,50548984H,170330Y8,108.7,2017-03-30,LR003VC
A7310324,50548984H,240331W1,203.96,2024-03-31,AB001CT
